house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment ,906 sq ft,Lohegaon,Pune,18.6058197,73.91240692,12000,INR,2,null,null,null,Posted 3 years ago,"A spacious 2 bhk multistorey apartment is available for rental in Jayshree Properties Boulevard, Lohegaon, Pune. It has an area of 906 sqft with a carpet area of 850 sqft . The property is available at a monthly rental of Rs. 12,000 . The house is unfurnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
1 BHK Apartment ,650 sq ft,Anand Nagar,Pune,18.47437668,73.82054901,11000,INR,1,null,null,null,Posted 2 years ago,"It has a built-up area of 650 sqft and is available for rent at Rs. 11,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is well connected to the city areas. Please contact for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment ,350 sq ft,Wagholi,Pune,18.58033562,73.9805069,4500,INR,1,null,null,null,Posted 2 years ago,"This spacious 1 rk independent house is available for rental and is located in the heart of Wagholi. It has an area of 350 sqft with a carpet area of 300 sqft . The property is available at a monthly rental of Rs. 4,500 . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,500 sq ft",Sangamvadi,Pune,18.54178619,73.88245392,35000,INR,2,null,null,null,Posted 3 years ago,"Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 dining table, 1 ac and 1 bed. It is north facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Furnished
5 BHK Independent House ,"5,000 sq ft",Wadgaon Sheri,Pune,18.5601635,73.92492676,110000,INR,5,null,null,null,Posted 3 years ago,"Itâs a 5 bhk independent house situated in Wadgaon Sheri, Pune. It has a built-up area of 5000 sqft and is available for rent at Rs. 1.10 lac per month . The house is unfurnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment ,975 sq ft,Tathawade,Pune,18.64037323,73.73686218,15500,INR,2,null,null,null,Posted 3 years ago,"Itâs a 2 bhk multistorey apartment situated in Tathawade, Pune. It has a built-up area of 975 sqft and is available for rent at Rs. 15,500 per month . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent House ,540 sq ft,Hinjewadi,Pune,18.57936478,73.73588562,24000,INR,1,null,null,null,Posted a month ago,"A spacious 1 bhk independent house is available for rental in Paranjape Schemes Blue Ridge The Lofts, Hinjewadi, Pune. It has an area of 540 sqft with a carpet area of 459 sqft . The property is available at a monthly rental of Rs. 24,000 . It is an unfurnished property. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. ",No Deposit,Unfurnished
2 BHK Apartment ,800 sq ft,Viman Nagar,Pune,18.57242584,73.9076767,40000,INR,2,null,null,null,Posted a month ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Rohan Builders And Developers Mithila. It has an area of 800 sqft with a carpet area of 750 sqft . The property is available at a monthly rental of Rs. 40,000 . It is a semi-furnished property. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,050 sq ft",Undri,Pune,18.44660759,73.90554047,16000,INR,2,null,null,null,Posted a month ago,"A 2 bhk property is available for rental in Gagan Properties Renaissance, Undri, Pune. It is an unfurnished property. It is facing east direction. It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ",No Deposit,Unfurnished
2 BHK Apartment ,"1,050 sq ft",Pimple Nilakh,Pune,18.56818581,73.79068756,38000,INR,2,null,null,null,Posted 16 days ago,"A spacious 2 bhk multistorey apartment is available for rental in RR Lunkad 66 Avenue, Pimple Nilakh, Pune. It has area of 1050 sqft and is available at a rent of Rs. 38,000. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,700 sq ft,Kharadi,Pune,18.55333519,73.94477844,23000,INR,1,null,null,null,Posted 14 days ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Kharadi. It has area of 700 sqft and is available at a rent of Rs. 23,000. The house is unfurnished. It is east facing property. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Unfurnished
5 BHK Apartment ,"2,500 sq ft",Tathawade,Pune,18.62474632,73.73732758,51000,INR,5,null,null,null,Posted 13 days ago,"Itâs a 5 bhk multistorey apartment situated in Pharande Spaces Puneville Phase I, Tathawade, Pune. It has area of 2500 sqft and is available at a rent of Rs. 51,000. The house is semi-furnished. It is facing west direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,280 sq ft",Lohegaon,Pune,18.60659409,73.90982056,23000,INR,3,null,null,null,Posted 11 days ago,"Itâs a 3 bhk multistorey apartment situated in Pride Housing Aashiyana, Lohegaon, Pune. It has an area of 1280 sqft with a carpet area of 1080 sqft . The property is available at a monthly rental of Rs. 23,000 . It has gated_community. Other amenities include swimming pool, gymnasium, community_hall, lift available, power backup, intercom, children's play area, gated community and club house. It is facing east direction. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,630 sq ft",Mohammed wadi,Pune,18.47053337,73.91357422,41000,INR,3,null,null,null,Posted 4 days ago,"Itâs a 3 bhk multistorey apartment situated in Mohammed wadi. It has area of 1630 sqft and is available at a rent of Rs. 41,000. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"2,700 sq ft",NIBM Annex Mohammadwadi,Pune,18.4641552,73.90855408,75000,INR,4,null,null,null,Posted 9 days ago,"It has a built-up area of 2700 sqft and is available for rent at Rs. 75,000 per month . The house is semi-furnished. Furnishings include 1 refrigerator, 1 sofa, 1 washing machine and 1 dining table. It has intercom as well as lift available. The project also has swimming pool. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,333 sq ft",Bavdhan,Pune,18.51470566,73.77187347,31000,INR,3,null,null,null,Posted 8 hours ago,"Itâs a 3 bhk multistorey apartment situated in Abhinav Pebbles Urbania, Bavdhan, Pune. It has area of 1333 sqft and is available at a rent of Rs. 31,000. It is a semi-furnished property. It has gymnasium as well as swimming pool. The project also has club house and children's play area. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,500 sq ft",Balewadi,Pune,18.57761574,73.77683258,38000,INR,3,null,null,null,Posted a month ago,"Itâs a 3 bhk multistorey apartment situated in Aditya Builders Pune Breeze Park, Balewadi, Pune. It has an area of 1500 sqft with a carpet area of 1250 sqft . The property is available at a monthly rental of Rs. 38,000 . It has power backup. Other amenities include lift available, club house, gymnasium, gated community, children's play area, swimming pool and community_hall. Its main door is facing east direction. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Unfurnished
3 BHK Independent House ,"2,300 sq ft",Bavdhan,Pune,18.5135746,73.76791382,85000,INR,3,null,null,null,Posted a month ago,"A spacious 3 bhk independent house is available for rental in Aditya Builders Pune Nisarg Tulips, Bavdhan, Pune. It has area of 2300 sqft and is available at a rent of Rs. 85,000. It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 ac and 1 bed. Its main door is facing west direction. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
1 BHK Apartment ,550 sq ft,Wadgaon Sheri,Pune,18.55271912,73.92081451,15000,INR,1,null,null,null,Posted 4 days ago,"A spacious 1 bhk multistorey apartment is available for rental in Wadgaon Sheri, Pune. It has a built-up area of 550 sqft and is available for rent at Rs. 15,000 per month . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
