house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment ,"1,180 sq ft",Ulwe,Mumbai,18.97104645,73.01772308,19000,INR,2,null,null,null,Posted 2 years ago,"It has area of 1180 sqft and is available at a rent of Rs. 19,000. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment ,"1,120 sq ft",Ulwe,Mumbai,18.96637726,73.01280212,12500,INR,2,null,null,null,Posted 2 years ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Shivshakti Developers Mumbai Shiv Ornate. It has a built-up area of 1120 sqft and is available for rent at Rs. 12,500 per month . The house is unfurnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. ",No Deposit,Unfurnished
2 BHK Apartment ,"1,200 sq ft",Panvel,Mumbai,18.96597862,73.12464905,22000,INR,2,null,null,null,Posted a month ago,"A spacious 2 bhk multistorey apartment is available for rental in Marathon Realty Marathon Nexzone, Panvel, Mumbai. It has area of 1200 sqft and is available at a rent of Rs. 22,000. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment ,750 sq ft,Kandivali West,Mumbai,19.21359825,72.83363342,28500,INR,2,null,null,null,Posted 3 years ago,"It has a built-up area of 750 sqft and is available for rent at Rs. 28,500 per month . The house is unfurnished. It is a 10 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,400 sq ft",Chembur,Mumbai,19.06293297,72.89239502,50000,INR,3,null,null,null,Posted 3 years ago,"The house is semi-furnished. It has power backup. Other amenities include children's play area, intercom, lift available, gymnasium and club house. It is east facing property. It is a ready-to-move-in property. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment ,450 sq ft,Badlapur East,Mumbai,19.144207,73.24699402,3000,INR,1,null,null,null,Posted 3 years ago,"This spacious 1 rk multistorey apartment is available for rental and is located in Sagar Group Platinum Sagar Jewels, one of the most prestigious projects of Badlapur East. It has water supply as well as gymnasium. The project also has power backup, lift available, club house and children's play area. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",No Deposit,Unfurnished
1 BHK Apartment ,700 sq ft,Dombivali,Mumbai,19.2275486,73.08150482,9500,INR,2,null,null,null,Posted 3 years ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Lodha Group Casa Rio. The house is unfurnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment ,600 sq ft,Bandra West,Mumbai,19.06117058,72.83162689,55000,INR,2,null,null,null,Posted 3 years ago,"A 1 bhk property is available for rental in Swaraj Homes Little Flower Apartment, Bandra West, Mumbai. It has an area of 600 sqft with a carpet area of 500 sqft . The property is available at a monthly rental of Rs. 55,000 . The house is furnished. It has 1 tv, 1 refrigerator, 1 washing machine and 1 microwave. It also has 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. ",No Deposit,Furnished
1 BHK Apartment ,600 sq ft,Andheri East,Mumbai,19.10876465,72.86569214,50000,INR,2,null,null,null,Posted 3 months ago,"It has an area of 600 sqft with a carpet area of 480 sqft . The property is available at a monthly rental of Rs. 50,000 . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Furnished
2 BHK Apartment ,"1,045 sq ft",Bhayandar East,Mumbai,19.30729294,72.86174774,25000,INR,1,null,null,null,Posted a month ago,"It has area of 1045 sqft and is available at a rent of Rs. 25,000. The house is semi-furnished. It is west facing property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Semi-Furnished
