house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,SecurityDeposit,Status,price_per_sqft,size_bucket,property_id
1 RK Studio Apartment ,400,Kalkaji,Delhi,28.54556084,77.25434875,22000,INR,1.0,0.0,Unknown,,Posted a day ago,No Deposit,Furnished,55.0,Small,1
1 RK Studio Apartment ,400,Mansarover Garden,Delhi,28.64325905,77.13282776,20000,INR,1.0,0.0,Unknown,,Posted 9 days ago,No Deposit,Furnished,50.0,Small,2
2 BHK Independent Floor ,500,Uttam Nagar,Delhi,28.61867714,77.05335236,8500,INR,1.0,0.0,Unknown,,Posted 12 days ago,No Deposit,Semi-Furnished,17.0,Medium,3
3 BHK Independent House ,1020,Model Town,Delhi,28.71289825,77.18000031,48000,INR,3.0,0.0,Unknown,,Posted a year ago,No Deposit,Furnished,47.05882352941177,Large,4
2 BHK Apartment ,810,Sector 13 Rohini,Delhi,28.72353935,77.13142395,20000,INR,2.0,0.0,Unknown,,Posted a year ago,No Deposit,Unfurnished,24.691358024691358,Medium,5
3 BHK Apartment ,750,DLF Farms,Delhi,28.48815346,77.15697479,11000,INR,1.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,14.666666666666666,Medium,6
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,7
3 BHK Independent Floor ,1200,Swasthya Vihar,Delhi,28.64163971,77.2840271,35000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,29.166666666666668,Large,8
3 BHK Independent House ,1100,Janakpuri,Delhi,28.62119293,77.09102631,39000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,35.45454545454545,Large,9
4 BHK Independent Floor ,2500,Pitampura,Delhi,28.69610023,77.12569427,90000,INR,4.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Semi-Furnished,36.0,Large,10
2 BHK Apartment ,1162,Gagan Vihar,Delhi,28.70855713,77.32802582,10000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,8.605851979345955,Large,11
3 BHK Independent Floor ,900,Dabri,Delhi,28.60726929,77.08944702,20000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,22.22222222222222,Medium,12
2 BHK Independent Floor ,750,Govindpuri Extension,Delhi,28.53482056,77.25739288,15000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,20.0,Medium,13
2 BHK Apartment ,1100,Paschim Vihar,Delhi,28.65725327,77.09198761,24000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,21.818181818181817,Large,14
2 BHK Independent Floor ,1150,Vijay Nagar,Delhi,28.68910408,77.20041656,35000,INR,2.0,0.0,Unknown,,Posted 17 days ago,No Deposit,Furnished,30.434782608695652,Large,15
3 BHK Apartment ,2000,Vasant Kunj,Delhi,28.54009819,77.14507294,59000,INR,3.0,0.0,Unknown,,Posted 13 days ago,No Deposit,Semi-Furnished,29.5,Large,16
1 BHK Independent Floor ,1350,Safdarjung Enclave,Delhi,28.56477928,77.19426727,35000,INR,1.0,0.0,Unknown,,Posted a day ago,No Deposit,Semi-Furnished,25.925925925925927,Large,17
2 BHK Apartment ,1000,Vasant Kunj,Delhi,28.52409363,77.14785004,45000,INR,2.0,0.0,Unknown,,Posted 9 days ago,No Deposit,Furnished,45.0,Medium,18
3 BHK Independent Floor ,1100,Janakpuri,Delhi,28.62412453,77.08145905,32500,INR,2.0,0.0,Unknown,,Posted a day ago,No Deposit,Semi-Furnished,29.545454545454547,Large,19
3 BHK Independent Floor ,1800,Bali Nagar,Delhi,28.65497208,77.13210297,43000,INR,3.0,0.0,Unknown,,Posted a year ago,No Deposit,Semi-Furnished,23.88888888888889,Large,20
